,GEOID10_TRACT,state,Life expectancy (years),Unemployed civilians (percent),Percent of individuals < 200% Federal Poverty Line,Median value ($) of owner-occupied housing units,Percent individuals age 25 or over with less than high school degree,Percent enrollment in college or graduate school,Percent Black or African American alone,Percent American Indian and Alaska Native alone,Percent Non-Hispanic White,Linguistic isolation (percent),Current lack of health insurance among adults aged 18-64 years,Median household income in the past 12 months,Percent Hispanic or Latino,hbrd_rank,current_methodology_percent,current_summed_methodology,Urban Heuristic Flag,state_name
2558,25013812001,25,76.1,8.167938931297709,67.42788461538461,178800,22.145168747110493,6.478342749529189,9.08011869436201,0.0,35.637982195845694,18.78031878031878,20.3,22687,57.50741839762611,95.5965909090909,52.0,689,1,MA
2559,25013812300,25,78.4,4.17007358953393,57.663293468261266,145300,20.52768918527109,7.239496795632561,3.0230853792598,0.0,77.62916819347745,6.5860775323051195,14.3,34688,13.887871015023808,90.76704545454544,51.0,1105,1,MA
2560,25015820300,25,82.1,4.53143534994068,54.515339190551636,382900,2.98216276477146,48.44998402045382,6.0932407538614095,1.04860422275754,67.43658778517784,4.2694147957305795,9.2,49923,8.941476548108259,97.3721590909091,44.0,1120,1,MA
2561,25017310300,25,76.0,9.5963872424499,35.8765195137556,220700,13.948393378773119,5.463375151760419,15.403071017274469,0.0,53.662827895073576,9.9594411897251,14.8,52520,23.736404350607803,94.2471590909091,45.0,940,1,MA
2562,25017310400,25,76.9,8.53731343283582,48.73458792991564,174600,18.384697130712,13.3469387755102,15.94758708852668,2.46085011185682,37.328219878555444,15.989628349178911,17.3,45486,36.1457334611697,98.9346590909091,50.0,538,1,MA
2563,25017310700,25,76.2,3.9382239382239304,51.424694708276796,213100,15.32702915681639,32.03517587939699,6.2538071065989795,0.0,42.3756345177665,8.16186556927297,14.5,41875,22.19289340101523,97.44318181818184,49.0,680,1,MA
2564,25017341300,25,81.3,5.01073729420186,45.554537121906506,381900,10.71960297766749,20.568972574703228,20.843263061411548,0.36663611365719,32.28230980751604,26.536098310291862,11.2,42500,4.10632447296058,91.05113636363636,48.0,1070,1,MA
2565,25017342101,25,77.4,5.193409742120339,37.10425489009881,422300,16.43674787202817,11.56511350059737,14.03061224489795,0.0,34.94897959183674,15.497254423428918,13.1,63239,34.32103610675039,96.30681818181816,49.0,739,1,MA
2568,25023510400,25,74.6,7.4430379746835404,43.95511921458626,239800,33.78823529411764,12.14918759231905,54.95118549511855,0.0,17.54532775453277,14.80804387568556,18.4,47679,2.92887029288702,90.9090909090909,53.0,550,1,MA
2569,25023510800,25,75.8,9.17836713468538,49.22966162706983,292800,27.38124238733252,12.37244897959183,61.27970226166619,0.0,7.61523046092184,17.341897233201582,17.5,55714,11.00772974520469,90.26988636363636,45.0,935,1,MA
